id;name;unique_id;atc_code;official_url;active;created;created_by;updated;updated_by
1;crac pendant que;dorénavant vu que près de;contre;entre au dépens de évaluer;false;2025-08-23T07:27:54;retrouver;2025-08-22T23:58:55;après que durant tisser
2;à même;meuh porte-parole;quelque novice mélancolique;miaou comme puis;false;2025-08-23T16:24:50;pendant que ha ha;2025-08-23T18:42:38;si après que
3;collègue cot cot;distraire;trier quant à marron;plutôt sombre;true;2025-08-23T14:22:04;habile fourbe diététiste;2025-08-23T09:19:34;sans que
4;neutre que incognito;direction;diablement;pallier à côté de;false;2025-08-23T01:25:38;mordre police déjà;2025-08-23T20:38:05;joliment au-dessous de
5;à condition que;jeune;dès;lectorat au-dedans de;true;2025-08-23T16:19:06;intégrer;2025-08-23T02:10:02;vouh personnel professionnel
6;spécialiste procéder;de façon que;enfin;de par;true;2025-08-23T14:16:32;tellement jusqu’à ce que;2025-08-23T16:47:44;miaou
7;de manière à;lorsque;d’autant que splendide;sans;true;2025-08-23T06:53:05;de manière à;2025-08-23T16:03:26;blablabla novice puisque
8;étant donné que en face de zzzz;tendre sincère;extra;substituer;true;2025-08-23T18:51:34;envers totalement soulager;2025-08-23T12:23:39;peut-être foncer miaou
9;que à l'encontre de à condition que;après que pff;vider d'après;rose;false;2025-08-23T01:06:45;pin-pon;2025-08-23T21:10:06;de manière à quelquefois
10;guide neutre spécialiste;absolument diplomate tant que;détendre bang;aussitôt que derechef jouir;true;2025-08-23T02:11:22;à travers;2025-08-23T22:18:08;minuscule
